date,id,drone.number,it.distance,treatment
2018-04-20,1.7,2,2.306,zone.1
2018-04-16,2.7,1,2.946,zone.2
2018-04-16,2.7,2,3.128,zone.2
2018-04-16,2.7,3,2.624,zone.2
2018-04-16,2.7,4,2.657,zone.2
2018-04-16,2.7,5,2.892,zone.2
2018-04-20,2.1,1,2.083,zone.2
2018-04-20,2.1,2,2.964,zone.2
2018-04-20,2.1,3,2.83,zone.2
2018-04-05,2.6,1,3.239,zone.2
2018-04-05,2.6,2,3.13,zone.2
2018-04-05,2.2,1,2.964,zone.2
2018-04-05,2.2,2,2.772,zone.2
2018-04-05,2.2,3,3.222,zone.2
2018-04-20,3.1,1,3.137,zone.3
2018-04-20,3.1,2,3.327,zone.3
2018-04-20,3.1,3,3.019,zone.3
2018-04-20,3.1,4,3.169,zone.3
2018-04-20,3.1,5,3.073,zone.3
2018-04-05,2.1,1,3.481,zone.2
2018-04-05,2.1,2,3.045,zone.2
2018-04-09,4.6,1,2.691,zone.4
2018-04-09,4.6,2,2.631,zone.4
2018-04-09,4.6,3,2.832,zone.4
2018-04-09,4.6,4,2.84,zone.4
2018-04-05,1.3,1,2.7,zone.1
2018-04-05,1.3,2,3.53,zone.1
2018-04-05,1.3,3,3.057,zone.1
2018-04-05,1.3,4,2.946,zone.1
2018-04-01,4.1,1,1.977,zone.4
2018-04-01,4.1,2,3.162,zone.4
2018-04-01,4.1,3,2.599,zone.4
2018-04-09,1.7,1,2.232,zone.1
2018-04-09,1.7,2,2.684,zone.1
2018-04-09,2.2,1,3.594,zone.2
2018-04-09,2.2,1,3.288,zone.2
2018-04-09,2.2,2,3.49,zone.2
2018-04-09,2.2,3,2.817,zone.2
2018-04-09,2.2,4,2.383,zone.2
2018-04-09,2.2,5,3.364,zone.2
2018-04-09,4.6,1,2.597,zone.4
2018-04-09,4.6,2,3.348,zone.4
2018-04-09,2.6,1,2.801,zone.2
2018-03-26,3.2,1,2.764,zone.3
2018-03-26,3.2,2,3.097,zone.3
2018-04-09,2.1,1,3.502,zone.2
